Time [s],Heat flux [W],,,
,,,Time,experiment heatflux
,,1,393.852,1.6047
,,1,394.924,1.434
,,1,395.981,1.6092
,,1,397.032,1.5842
,,1,398.104,1.5432
,,1,399.179,1.5068
,,1,400.253,1.591
,,1,401.325,1.5774
,,1,402.378,1.5045
,,1,403.441,1.6138
,,1,404.521,1.6593
,,1,405.588,1.6684
,,1,406.651,1.5523
,,1,407.729,1.5182
,,1,408.8,1.5091
,,1,409.859,1.5068
,,1,410.925,1.6251
,,1,411.977,1.459
,,1,413.049,1.5045
,,1,414.127,1.5205
,,1,415.187,1.4636
,,1,416.247,1.5796
,,1,417.298,1.566
,,1,418.373,1.6274
,,1,419.433,1.5819
,,1,420.495,1.5409
,,1,421.557,1.6866
,,1,422.618,1.6274
,,1,423.692,1.6616
,,1,424.757,1.6343
,,1,425.832,1.6912
,,1,426.906,1.6525
,,1,427.975,1.7731
,,1,429.05,1.5478
,,1,430.117,1.6092
,,1,431.188,1.5978
,,1,432.243,1.6069
,,1,433.315,-21.4366
,,1,434.387,-14.0597
,,1,435.442,-13.2064
,,1,436.504,-13.1676
,,1,437.56,-13.9985
,,1,438.636,-14.2604
,,1,439.712,-15.4531
,,1,440.773,-16.4501
,,1,441.846,-17.5655
,,1,442.898,-17.0216
,,1,443.963,-18.2098
,,1,445.037,-19.143
,,1,446.107,-20.2471
,,1,447.167,-20.2313
,,1,448.232,-20.5614
,,1,449.305,-21.5425
,,1,450.369,-21.9682
,,1,451.448,-22.6944
,,1,452.509,-22.8811
,,1,453.571,-23.4274
,,1,454.629,-24.0535
,,1,455.682,-23.7279
,,1,456.745,-25.137
,,1,457.803,-25.1758
,,1,458.884,-25.8109
,,1,459.956,-25.9703
,,1,461.016,-26.066
,,1,462.071,-26.8742
,,1,463.132,-27.0335
,,1,464.194,-28.7523
,,1,465.266,-27.992
,,1,466.327,-29.6925
,,1,467.378,-30.1158
,,1,468.438,-28.5773
,,1,469.508,-30.7535
,,1,470.592,-30.4484
,,1,471.67,-31.0996
,,1,472.736,-31.8872
,,1,473.795,-31.2477
,,1,474.863,-32.1536
,,1,475.94,-32.4998
,,1,476.992,-34.0797
,,1,478.059,-33.5561
,,1,479.122,-33.0827
,,1,480.195,-34.1596
,,1,481.27,-33.8159
,,1,482.326,-34.8926
,,1,483.403,-35.018
,,1,484.475,-36.7118
,,1,485.549,-36.425
,,1,486.622,-37.29
,,1,487.692,-35.6807
,,1,488.748,-36.4435
,,1,489.822,-38.8543
,,1,490.895,-38.3695
,,1,491.95,-37.9256
,,1,493.001,-40.2182
,,1,494.062,-39.8313
,,1,495.123,-38.2947
,,1,496.199,-38.9686
,,1,497.252,-39.993
,,1,498.324,-31.9596
,,1,499.383,-19.5434
,,1,500.458,-10.4829
,,1,501.519,-4.8942
,,1,502.572,-1.0676
,,1,503.631,11.3156
,,1,504.708,31.1464
,,1,505.783,61.5324
,,1,506.855,90.1032
,,1,507.943,117.6868
,,1,509.019,158.8174
,,1,510.094,185.4048
,,1,511.156,221.7171
,,1,512.211,247.8215
,,1,513.285,282.5646
,,1,514.357,315.5066
,,1,515.433,345.8351
,,1,516.494,373.1314
,,1,517.546,416.0102
,,,518.607,423.4671
,,,519.66,455.392
,,,520.743,493.8483
,,,521.826,523.002
,,,522.878,546.5628
,,,523.944,574.6756
,,,525.023,578.3869
,,,526.075,603.7382
,,,527.127,620.2502
,,,528.199,668.7894
,,,529.271,692.3166
,,,530.326,698.5932
,,,531.398,730.0955
,,,532.462,735.9956
,,,533.524,753.8844
,,,534.588,766.1075
,,,535.641,790.4617
,,,536.703,836.9896
,,,537.772,843.2497
,,,538.833,829.1314
,,,539.909,877.2484
,,,540.973,887.2556
,,,542.025,907.9637
,,,543.092,948.7301
,,,544.167,926.7347
,,,545.229,954.3141
,,,546.296,922.9483
,,,547.349,967.6947
,,,548.416,1006.4015
,,,549.475,995.3168
,,,550.55,1016.6307
,,,551.621,1009.4398
,,,552.673,1018.4007
,,,553.746,1058.4646
,,,554.823,1049.3821
,,,555.899,1100.0963
,,,556.955,1083.2164
,,,558.031,1112.2536
,,,559.106,1087.7032
,,,560.166,1141.935
,,,561.231,1131.3644
,,,562.299,1093.348
,,,563.371,1189.3216
,,,564.433,1162.3755
,,,565.496,1159.9584
,,,566.552,1173.6518
,,,567.604,1155.0746
,,,568.677,1193.0171
,,,569.753,1201.3472
,,,570.816,1187.0729
,,,571.892,1200.6191
,,,572.95,1168.9506
,,,574.024,1240.1132
,,,575.102,1242.6146
,,,576.155,1236.4976
,,,577.211,1277.2425
,,,578.271,1285.725
,,,579.335,1261.3183
,,,580.41,1277.6633
,,,581.474,1300.5527
,,,582.535,1273.2025
,,,583.595,1306.2291
,,,584.675,1313.6314
,,,585.736,1340.3811
,,,586.787,1325.2101
,,,587.847,1339.6228
,,,588.922,1324.1934
,,,589.985,1356.7422
,,,591.052,1346.2204
,,,592.105,1306.2327
,,,593.172,1371.793
,,,594.232,1395.5948
,,,595.294,1365.5491
,,,596.354,1367.6706
